time,state,action,new_state,total_cost
8,[0],"[(5, 0)]",[5.0],1228.6966381988636
8,[5],"[(5, 0)]",[10.0],1228.6966381988636
8,[10],"[(0, 1)]",[2.0],-6936.000000000001
8,[15],"[(0, 1)]",[7.0],-6936.000000000001
8,[20],"[(0, 1)]",[12.0],-6936.000000000001
9,[0],"[(5, 0)]",[5.0],1538.812658850756
9,[5],"[(5, 0)]",[10.0],1538.812658850756
9,[10],"[(0, 1)]",[0.0],-8670.000000000002
9,[15],"[(0, 1)]",[5.0],-8670.000000000002
9,[20],"[(0, 1)]",[10.0],-8670.000000000002
10,[0],"[(5, 0)]",[5.0],1274.9721439438283
10,[5],"[(5, 0)]",[10.0],1274.9721439438283
10,[10],"[(0, 1)]",[2.0],-6936.000000000001
10,[15],"[(0, 1)]",[7.0],-6936.000000000001
10,[20],"[(0, 1)]",[12.0],-6936.000000000001
11,[0],"[(5, 0)]",[5.0],1870.4728992050923
11,[5],"[(5, 0)]",[10.0],1870.4728992050923
11,[10],"[(0, 1)]",[4.0],-5202.0
11,[15],"[(0, 1)]",[9.0],-5202.0
11,[20],"[(0, 1)]",[14.0],-5202.0
12,[0],"[(5, 0)]",[5.0],11703.400860341284
12,[5],"[(5, 0)]",[10.0],11703.400860341284
12,[10],"[(0, 1)]",[0.0],-8670.000000000002
12,[15],"[(0, 1)]",[5.0],-8670.000000000002
12,[20],"[(0, 1)]",[10.0],-8670.000000000002
13,[0],"[(5, 0)]",[5.0],11573.657049504121
13,[5],"[(5, 0)]",[10.0],11573.657049504121
13,[10],"[(0, 1)]",[1.0],-7803.000000000001
13,[15],"[(0, 1)]",[6.0],-7803.000000000001
13,[20],"[(0, 1)]",[11.0],-7803.000000000001
14,[0],"[(0, 1)]",[0.0],0.0
14,[5],"[(0, 1)]",[5.0],0.0
14,[10],"[(0, 1)]",[10.0],0.0
14,[15],"[(0, 1)]",[15.0],0.0
14,[20],"[(0, 1)]",[20.0],0.0
15,[0],"[(5, 0)]",[5.0],12915.405949473887
15,[5],"[(0, 1)]",[4.0],-867.0000000000001
15,[10],"[(0, 1)]",[9.0],-867.0000000000001
15,[15],"[(0, 1)]",[14.0],-867.0000000000001
15,[20],"[(0, 1)]",[19.0],-867.0000000000001
16,[0],"[(5, 0)]",[5.0],12556.421072513687
16,[5],"[(5, 0)]",[10.0],12556.421072513687
16,[10],"[(0, 1)]",[0.0],-8670.000000000002
16,[15],"[(0, 1)]",[5.0],-8670.000000000002
16,[20],"[(0, 1)]",[10.0],-8670.000000000002
17,[0],"[(5, 0)]",[5.0],5850.284746632275
17,[5],"[(0, 1)]",[1.0],-3468.0000000000005
17,[10],"[(0, 1)]",[6.0],-3468.0000000000005
17,[15],"[(0, 1)]",[11.0],-3468.0000000000005
17,[20],"[(0, 1)]",[16.0],-3468.0000000000005
18,[0],"[(5, 0)]",[5.0],2443.8964017840785
18,[5],"[(5, 0)]",[10.0],2443.8964017840785
18,[10],"[(0, 1)]",[0.0],-8670.000000000002
18,[15],"[(0, 1)]",[5.0],-8670.000000000002
18,[20],"[(0, 1)]",[10.0],-8670.000000000002
19,[0],"[(0, 1)]",[0.0],0.0
19,[5],"[(0, 1)]",[5.0],0.0
19,[10],"[(0, 1)]",[10.0],0.0
19,[15],"[(0, 1)]",[15.0],0.0
19,[20],"[(0, 1)]",[20.0],0.0
